,Headquarter1,Headquarter2,Headquarter3,Headquarter4
Region1,16.16,24.08,24.32,21.12
Region2,19.0,26.47,27.24,17.33
Region3,25.29,32.49,33.42,12.25
Region4,0.0,7.93,8.31,36.12
Region5,3.07,6.44,7.56,37.36
Region6,1.22,7.51,8.19,36.29
Region7,2.8,10.31,10.95,33.5
Region8,2.87,5.07,5.67,38.8
Region9,3.8,8.01,7.41,38.16
Region10,12.35,4.52,4.35,48.27
Region11,11.11,3.48,2.97,47.14
Region12,21.99,22.02,24.07,39.86
Region13,8.82,3.3,5.36,43.31
Region14,7.93,0.0,2.07,43.75
Region15,9.34,2.25,1.11,45.43
Region16,8.31,2.07,0.0,44.43
Region17,7.31,2.44,1.11,43.43
Region18,7.55,0.75,1.53,43.52
Region19,11.13,18.41,19.26,25.4
Region20,17.49,23.44,24.76,23.21
Region21,11.03,18.93,19.28,25.43
Region22,36.12,43.75,44.43,0.0
